threshold,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,accuracy,selection_rate,youden_index
0.05,121,80,219,0,1.0,0.26755852842809363,0.3558823529411765,1.0,0.4785714285714286,0.8095238095238095,0.2675585284280937
0.1,121,101,198,0,1.0,0.3377926421404682,0.3793103448275862,1.0,0.5285714285714286,0.7595238095238095,0.3377926421404682
0.15000000000000002,121,134,165,0,1.0,0.44816053511705684,0.4230769230769231,1.0,0.6071428571428571,0.680952380952381,0.4481605351170568
0.2,121,164,135,0,1.0,0.5484949832775919,0.47265625,1.0,0.6785714285714286,0.6095238095238096,0.548494983277592
0.25,121,198,101,0,1.0,0.6622073578595318,0.545045045045045,1.0,0.7595238095238095,0.5285714285714286,0.6622073578595318
0.3,121,231,68,0,1.0,0.7725752508361204,0.6402116402116402,1.0,0.8380952380952381,0.45,0.7725752508361206
0.35000000000000003,120,251,48,1,0.9917355371900827,0.8394648829431438,0.7142857142857143,0.996031746031746,0.8833333333333333,0.4,0.8312004201332264
0.4,118,270,29,3,0.9752066115702479,0.903010033444816,0.8027210884353742,0.989010989010989,0.9238095238095239,0.35,0.8782166450150639
0.45,116,284,15,5,0.9586776859504132,0.9498327759197325,0.8854961832061069,0.9826989619377162,0.9523809523809523,0.3119047619047619,0.9085104618701458
0.5,111,291,8,10,0.9173553719008265,0.9732441471571907,0.9327731092436975,0.9667774086378738,0.9571428571428572,0.2833333333333333,0.8905995190580172
0.55,102,297,2,19,0.8429752066115702,0.9933110367892977,0.9807692307692307,0.939873417721519,0.95,0.24761904761904763,0.8362862434008678
0.6000000000000001,91,298,1,30,0.7520661157024794,0.9966555183946488,0.9891304347826086,0.9085365853658537,0.9261904761904762,0.21904761904761905,0.7487216340971283
0.6500000000000001,83,299,0,38,0.6859504132231405,1.0,1.0,0.887240356083086,0.9095238095238095,0.1976190476190476,0.6859504132231407
0.7000000000000001,71,299,0,50,0.5867768595041323,1.0,1.0,0.8567335243553008,0.8809523809523809,0.16904761904761906,0.5867768595041323
0.7500000000000001,57,299,0,64,0.47107438016528924,1.0,1.0,0.8236914600550964,0.8476190476190476,0.1357142857142857,0.47107438016528924
0.8,37,299,0,84,0.30578512396694213,1.0,1.0,0.7806788511749347,0.8,0.0880952380952381,0.30578512396694224
0.8500000000000001,26,299,0,95,0.21487603305785125,1.0,1.0,0.7588832487309645,0.7738095238095238,0.06190476190476191,0.2148760330578512
0.9000000000000001,16,299,0,105,0.1322314049586777,1.0,1.0,0.7400990099009901,0.75,0.0380952380952381,0.1322314049586777
0.9500000000000001,13,299,0,108,0.10743801652892562,1.0,1.0,0.7346437346437347,0.7428571428571429,0.030952380952380953,0.1074380165289257
