record_id,resource_id,resource_version,release_date,section,field_or_question,guidance,response_or_evidence,owner,due_or_review_date,evidence_cut_off,local_modifications,intervention_version
,AIHE-E03,V1.0,2026-09-02,Option identity,"Maintain, repair, upgrade, refurbish, replace, share, or retire option",Define the service function.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Eligibility before economics,"Safety, performance, cybersecurity, regulatory, support, and continuity status",Exclude non-viable options before cost comparison.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Supported service life,Years during which all required forms of support remain available,Distinguish from physical longevity.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Condition and dependency,"Asset condition, critical components, software, firmware, model, interfaces, skills, parts, and supplier dependencies",Identify bottlenecks.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Obsolescence,"Functional, technical, economic, cybersecurity, regulatory, and clinical suitability",Record material forms.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Availability,"Expected downtime, service continuity, and fallback",Include consequences of interruption.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Economic comparison,"Present value of costs, service life, equivalent annual cost, and uncertainty",Use comparable functional output.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Residual value,Realizable residual value net of recovery cost and restrictions,Avoid nominal resale assumptions.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Thresholds,"Minimum life extension, maximum failure or downtime, and price thresholds",Define decision boundaries.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E03,V1.0,2026-09-02,Closure,"Authorization to retire, data closure, transfer, recovery, final destination, and evidence retained",Complete the asset record.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
