month,training,trust,adoption,capacity,realized_value_proxy
0.0,0.2,0.4,0.1,100.0,10.0
0.25,0.20900000000000002,0.40158000000000005,0.10103000000000001,100.5,10.153515
0.5,0.21789875000000003,0.403229432975,0.10212817843480976,101.00515,10.315471982034724
0.75,0.22669738906250003,0.40494685678236303,0.10329394753349314,101.51579089217405,10.485966778237287
1.0,0.2353970434355469,0.4067308247488381,0.10452673465709986,102.03226062984152,10.6650990333195
1.25,0.24399882669689701,0.4085798867394711,0.10582598048725297,102.55489430312701,10.85297224339501
1.5,0.25250383989655695,0.41049259019794876,0.1071911372550883,103.08402420556328,11.04969378742538
1.75,0.26091317169772066,0.41246748115822335,0.10862166701320194,103.61997989183872,11.255374951725987
2.0,0.2692278985161213,0.4145031052273108,0.11011703995304646,104.16308822690473,11.470130947914772
2.25,0.2774490846578149,0.4165980085391973,0.11167673277000936,104.71367342666997,11.694080924636253
2.5,0.2855777824554145,0.4187507386798302,0.11330022707820757,105.27205709052002,11.927347973345949
2.75,0.2936150324027911,0.4209598455832091,0.11498700787683994,105.83855822591106,12.170059128396217
3.0,0.3015618632882597,0.42322388239862907,0.11673656206975472,106.41349326529526,12.422345361623565
3.25,0.30941929232626675,0.4255414063291648,0.1185483770397108,106.99717607564403,12.684341571599774
3.5,0.3171883252875963,0.42791097944151735,0.12042193927863984,107.58991796084258,12.956186567674427
3.75,0.3248699566281108,0.4303311694473776,0.12235673307505134,108.19202765723578,13.23802304890497
4.0,0.33246516961604455,0.432800550456492,0.12435223925956279,108.80381132261104,13.529997577941655
4.25,0.33997493645786403,0.435317703701643,0.12640793400938394,109.42557251890885,13.832260549909286
4.5,0.34740021842271307,0.4378812182357853,0.12852328771243546,110.05761218895577,14.144966156304806
4.75,0.35474196596545754,0.4404896916016045,0.1306977638916399,110.70022862751794,14.468272343909895
5.0,0.3620011188483461,0.443141730473788,0.13293081818978472,111.35371744697615,14.802340768700645
5.25,0.3691786062613022,0.4458359512743212,0.13522189741522464,112.01837153792508,15.147336744721825
5.5,0.37627534694086257,0.4485709807611423,0.1375704386485623,112.6944810250012,15.503429187881496
5.75,0.3832922492877779,0.45134545659051034,0.13997586841032295,113.38233321824401,15.870790554612313
6.0,0.3902302114832904,0.454158027853456,0.14243760188952015,114.08221256029563,16.249596775339004
