wtp,probability_cost_effective,evpi_per_patient
0.0,0.031,1.8317987114755232
2000.0,0.07966666666666666,4.774310487038417
4000.0,0.17633333333333334,12.931449644051721
6000.0,0.31633333333333336,29.88553272486931
8000.0,0.4751666666666667,57.487454880681966
10000.0,0.6123333333333333,46.07014866547042
12000.0,0.7215,31.763879032968333
14000.0,0.8015,22.827833143378967
16000.0,0.8516666666666667,17.253431520912443
18000.0,0.8855,13.541149343054201
20000.0,0.9105,11.096340192529794
22000.0,0.9263333333333333,9.341827228162117
24000.0,0.94,8.114820922943295
26000.0,0.948,7.2361268841310675
28000.0,0.9558333333333333,6.579471516367676
30000.0,0.9611666666666666,6.103444043766672
32000.0,0.9643333333333334,5.711931792267819
34000.0,0.9671666666666666,5.39411635855754
36000.0,0.9705,5.139991106350749
38000.0,0.9726666666666667,4.941238266053688
40000.0,0.9745,4.785849042364248
42000.0,0.9766666666666667,4.6609034078283
44000.0,0.9781666666666666,4.5710256498873605
46000.0,0.9796666666666667,4.511557258074163
48000.0,0.9805,4.467597310508154
50000.0,0.9811666666666666,4.431502805145556
52000.0,0.982,4.404460160731105
54000.0,0.9823333333333333,4.3843233049244645
56000.0,0.9828333333333333,4.3689761499817905
58000.0,0.983,4.358643744564006
60000.0,0.984,4.355269923265041
62000.0,0.9846666666666667,4.35714188936754
64000.0,0.9846666666666667,4.3642993261155425
66000.0,0.9846666666666667,4.3714567628626355
68000.0,0.9851666666666666,4.381986681054059
70000.0,0.9855,4.397168647884882
72000.0,0.986,4.4154172275020755
74000.0,0.9861666666666666,4.437648704331423
76000.0,0.9863333333333333,4.462731843000029
78000.0,0.9866666666666667,4.489530448300684
80000.0,0.987,4.519820920680559
82000.0,0.987,4.550738315725994
84000.0,0.9871666666666666,4.582359155264385
86000.0,0.9873333333333333,4.615903118477945
88000.0,0.9876666666666667,4.651420802914345
90000.0,0.988,4.689169007585406
92000.0,0.988,4.727487808821934
94000.0,0.9885,4.76844441425601
96000.0,0.9885,4.810087008023402
98000.0,0.9885,4.851729601789884
100000.0,0.9885,4.893372195556367
